"approved_date","region","condition_name","brand_name","model_name","mfdate","mileage","mileage_v2","fuel_type","gearbox","price"
"2019-01-02",13,"new","Honda","City","2018","1","0","Petrol","Auto",559000000
"2019-01-02",2,"used","Toyota","Innova","2010","18","85000","Petrol","Manual",374000000
"2019-01-02",9,"used","Mazda","323","2000","35","446890","Petrol","Manual",95000000
"2019-01-02",2,"used","Toyota","Fortuner","2014","22","115000","Diesel","Manual",800000000
"2019-01-02",2,"used","Toyota","Innova","2006","15","72000","Petrol","Manual",329000000
"2019-01-02",12,"used","Nissan","Grand livina","2010","3","12000","Petrol","Manual",285000000
"2019-01-02",7,"used","Kia","Carnival","2009","21","101000","Petrol","Auto",267000000
"2019-01-02",11,"used","Daihatsu","Citivan","2004","37","779373","Petrol","Manual",60000000
"2019-01-02",12,"used","Peugeot","405","1992","11","50000","Petrol","Manual",110000000
"2019-01-02",9,"used","Ford","Focus C Max","2007","20","99000","Petrol","Manual",180000000
"2019-01-02",12,"new","Mazda","CX 5","2019","1","0","Petrol","Auto",898000000
"2019-01-02",12,"new","Mazda","CX 5","2018","1","0","Petrol","Auto",899000000
"2019-01-02",2,"used","Kia","Cerato","2009","22","115000","Petrol","Manual",312000000
"2019-01-02",5,"used","Hyundai","Accent","2018","1","8","Petrol","Auto",550000000
"2019-01-02",2,"new","Hyundai","Kona","2018","1","0","Petrol","Auto",725000000
"2019-01-02",12,"used","Mazda","626","2000","28","171000",,"Manual",150000000
"2019-01-02",2,"new","Toyota","Hilux","2019","1","0","Petrol","Manual",169000000
"2019-01-02",2,"used","Toyota","Innova","2006","23","120000","Petrol","Manual",360000000
"2019-01-02",2,"used","Kia","Cerato","2009","19","91000","Petrol","Manual",318000000
"2019-01-02",12,"used","Mercedes Benz","GL Class","2017","1","1234","Petrol","Auto",1780000000
"2019-01-02",13,"new","Honda","Jazz","2018","1","0","Petrol","Auto",624000000
"2019-01-02",13,"new","Honda","City","2018","1","0","Petrol","Auto",599000000
"2019-01-02",13,"used","Toyota","Innova","2015","20","95000","Petrol","Manual",556000000
"2019-01-02",13,"used","Ford","EcoSport","2015","11","50000","Petrol","Manual",438000000
"2019-01-02",12,"used","Mercedes Benz","E Class","2011","2","6000",,"Auto",950000000
"2019-01-02",12,"new","Hyundai","Grand i10","2018","1","0","Petrol","Auto",408000000
"2019-01-02",13,"new","Mercedes Benz","E Class","2019","1","0","Petrol","Auto",2099000000
"2019-01-02",9,"used","Jeep","A2","1980","19","90000",,"Manual",185000000
"2019-01-02",13,"used","Daewoo","Lanos","2002","11","52700",,"Manual",105000000
"2019-01-02",12,"used","Hyundai","i20","2011","2","7654","Petrol","Auto",345000000
"2019-01-02",13,"new","Toyota","Wigo","2018","1","0","Petrol","Auto",405000000
"2019-01-02",2,"used","BMW","X3","2015","16","75000","Petrol","Auto",1550000000
"2019-01-02",13,"used","Hyundai","Santa Fe","2009","27","165000","Diesel","Auto",9999999
"2019-01-02",12,"used","Ford","Ranger","2015","11","50000","Diesel","Auto",785000000
"2019-01-02",12,"new","Hyundai","Santa Fe","2019","1","0","Petrol","Auto",995000000
"2019-01-02",12,"new","Nissan","Navara","2018","1","0","Diesel","Auto",780000000
"2019-01-02",13,"used","Toyota","Fortuner","2017","3","12000","Petrol","Auto",1350000000
"2019-01-02",12,"used","Hyundai","County","2012","32","250000","Diesel","Manual",760000000
"2019-01-02",12,"used","Jaguar","E Type","2009","26","155555","Diesel","Manual",255000000
"2019-01-02",12,"used","Toyota","Zace","2003","33","300000","Petrol","Manual",205000000
"2019-01-02",12,"new","Kia","Cerato","2019","1","0","Petrol","Manual",559000000
